,mean,std,dropped by the lasso (%),sign changes (%)
other_field_10.0,0.028271222666221226,0.02157039775827666,12.0,4.0
other_race_3.0,0.0280425445386712,0.024714002265508052,20.0,0.0
agediff,0.023464681178897235,0.031781301576404616,36.0,0.0
self_religpref,-0.021420071968550544,0.026686488985722852,32.0,4.0
other_race_2.0,0.02133429544067029,0.02902605021370107,36.0,0.0
other_wantattr,0.021105009635965538,0.02199616451563963,36.0,0.0
self_field_6.0,-0.01876097332196343,0.020927678835114198,28.000000000000004,4.0
other_race_infrequent_sklearn,0.017950101336168735,0.020783779938719216,40.0,0.0
other_goal_1.0,0.017608653501734035,0.01908185276899724,32.0,0.0
self_goal_6.0,-0.01748504432911059,0.023050682123545163,24.0,8.0
other_goal_4.0,-0.017285390355345938,0.021289514393636758,32.0,0.0
self_selfamb,0.017031796270971702,0.02346007507264346,40.0,4.0
religpref_max,-0.016053463222536004,0.019508438761878917,44.0,4.0
other_wantamb,0.015110961936735248,0.02009383719848214,24.0,12.0
other_field_6.0,-0.014309002402744176,0.016084779380987554,28.000000000000004,4.0
other_goal_2.0,-0.012423957590727602,0.018137490727134935,48.0,0.0
self_field_10.0,0.011916007580754466,0.021223320044251204,40.0,8.0
self_field_1.0,0.011493439884800307,0.017609782626964637,48.0,0.0
self_goal_5.0,-0.010540509081842921,0.014848816104845963,40.0,4.0
other_goal_infrequent_sklearn,0.010519081685640575,0.013670558045466394,48.0,0.0
olderwoman,0.009911755254656018,0.016989255128134508,20.0,16.0
other_income,0.009241899963315248,0.018831528786388524,44.0,8.0
other_racepref,-0.0091866016352315,0.01851378043445679,40.0,8.0
samecareer,0.00915099632636765,0.019798708339675154,40.0,12.0
interests,0.008979545680163065,0.020321358023810524,32.0,8.0
self_field_5.0,0.008670159142151414,0.01354686274036517,56.00000000000001,4.0
other_wantintel,0.008546645904815839,0.015608570958281887,52.0,4.0
other_goal_5.0,-0.008525020869864574,0.019462462736219294,44.0,12.0
self_wantfun,-0.0077295645933393164,0.01490522694263752,60.0,8.0
other_race_6.0,-0.0076606689547339514,0.02021891642863897,36.0,12.0
self_wantamb,0.007477643822710049,0.01772584695451707,60.0,4.0
dategap,-0.007198320815511863,0.01849032605047705,28.000000000000004,28.000000000000004
other_field_1.0,0.006494583273782183,0.01183023142345068,52.0,4.0
self_race_3.0,-0.006272228004793554,0.015134326139138529,52.0,8.0
racepref_max,0.005820598684547489,0.009889838574051645,68.0,0.0
other_field_13.0,0.005587722640726845,0.012472716900261076,60.0,8.0
other_goal_6.0,0.005263869860193043,0.016543609603946414,48.0,16.0
fitmin,-0.005027633902817854,0.012234541897378286,76.0,4.0
self_field_11.0,-0.004746476496206994,0.01644040810422625,52.0,16.0
self_wantintel,-0.004687952039460903,0.014035254337253875,60.0,8.0
self_goal_1.0,-0.003893645893818595,0.009185456745813995,76.0,0.0
other_race_1.0,-0.003394400082999792,0.012504377403655627,48.0,16.0
other_fit,-0.0032266399815383574,0.016133199907691787,96.0,0.0
samerace,0.0031859239370132493,0.010788493745795508,76.0,8.0
other_wantfun,-0.002527039796355948,0.010481289379595157,64.0,16.0
self_goal_3.0,-0.0021358172830119506,0.013638344051378698,36.0,32.0
self_race_infrequent_sklearn,-0.0016552975363456012,0.007216270342244003,76.0,12.0
self_age,0.001190884818375879,0.0061182629397792425,84.0,4.0
other_goal_3.0,-0.0007161401564229054,0.007862482803730218,64.0,20.0
self_selffun,0.0002257465828808883,0.0168429766459376,52.0,20.0
self_field_infrequent_sklearn,1.209362553194886e-05,0.014085855375783768,64.0,24.0
self_race_4.0,0.0,0.0,100.0,0.0
